148	0.627	1
183	0.672	1
137	2.288	1
78	0.248	1
197	0.158	1
125	0.232	1
168	0.537	1
189	0.398	1
166	0.587	1
100	0.484	1
118	0.551	1
107	0.254	1
115	0.529	1
196	0.451	1
119	0.263	1
143	0.254	1
125	0.205	1
147	0.257	1
158	0.851	1
102	0.665	1
90	0.503	1
111	1.39	1
171	0.721	1
180	1.893	1
103	0.344	1
176	0.467	1
187	0.254	1
133	0.27	1
114	0.258	1
109	0.855	1
100	0.867	1
126	0.583	1
131	0.27	1
137	0.227	1
136	0.153	1
134	0.277	1
122	0.325	1
163	1.222	1
95	0.247	1
171	0.199	1
155	0.543	1
160	0.588	1
146	0.539	1
124	0.22	1
162	0.759	1
113	0.278	1
88	0.496	1
117	0.403	1
105	0.741	1
173	0.361	1
122	1.114	1
170	0.356	1
108	0.272	1
156	1.189	1
188	0.137	1
152	0.337	1
163	0.817	1
131	0.743	1
104	0.722	1
102	0.18	1
134	0.542	1
179	0.719	1
129	0.319	1
130	0.956	1
194	0.745	1
181	0.615	1
128	1.321	1
109	0.64	1
139	0.361	1
159	0.383	1
135	0.578	1
158	0.395	1
107	0.678	1
109	0.905	1
148	0.15	1
196	0.605	1
162	0.151	1
184	0.355	1
140	0.431	1
112	0.26	1
151	0.742	1
109	0.514	1
85	1.224	1
112	0.261	1
177	1.072	1
158	0.805	1
162	0.652	1
142	0.645	1
134	0.238	1
171	0.479	1
181	0.586	1
179	0.686	1
164	0.831	1
139	0.402	1
119	1.318	1
184	1.213	1
92	0.926	1
113	0.543	1
155	1.353	1
141	0.761	1
123	0.226	1
138	0.933	1
146	0.24	1
101	1.136	1
106	0.296	1
146	0.334	1
161	0.165	1
108	0.259	1
119	0.808	1
107	0.757	1
128	1.224	1
128	0.613	1
146	0.337	1
100	0.412	1
167	0.839	1
144	0.422	1
115	0.209	1
161	0.326	1
128	1.391	1
124	0.875	1
155	0.433	1
109	1.127	1
182	0.345	1
194	0.129	1
112	0.197	1
124	0.254	1
152	0.731	1
122	0.692	1
102	0.127	1
180	0.282	1
115	0.343	1
152	0.893	1
178	0.331	1
0	0.346	1
165	0.302	1
125	0.962	1
129	0.569	1
196	0.875	1
189	0.583	1
146	0.52	1
124	0.368	1
133	0.234	1
173	2.137	1
140	0.528	1
156	0.238	1
116	0.66	1
105	0.239	1
144	0.452	1
166	0.34	1
158	0.803	1
131	0.196	1
193	0.241	1
95	0.161	1
136	0.286	1
168	0.135	1
115	0.376	1
197	1.191	1
172	0.702	1
138	0.534	1
173	0.258	1
144	0.554	1
129	0.219	1
151	0.516	1
184	0.264	1
181	0.328	1
95	0.233	1
141	0.205	1
189	0.435	1
108	0.955	1
117	0.38	1
180	2.42	1
104	0.51	1
134	0.542	1
175	0.212	1
148	1.001	1
120	0.183	1
105	0.711	1
158	0.344	1
145	0.63	1
135	0.365	1
125	1.144	1
195	0.163	1
0	0.727	1
180	0.314	1
84	0.297	1
163	0.268	1
145	0.771	1
130	0.652	1
132	0.302	1
129	0.968	1
100	0.661	1
128	0.549	1
90	0.825	1
186	0.423	1
187	1.034	1
125	0.121	1
198	0.502	1
121	0.203	1
118	0.693	1
197	0.575	1
151	0.371	1
124	0.687	1
143	0.129	1
176	1.154	1
111	0.925	1
132	0.402	1
188	0.682	1
173	0.088	1
150	0.692	1
183	0.212	1
